epoch;train_loss;valid_loss;mae;time
0;17.671053;15.805129;15.805129;01:40
1;14.305138;13.942862;13.942862;01:40
2;12.897684;11.835806;11.835806;01:42
3;10.756629;11.212151;11.212151;01:40
4;9.828721;10.170674;10.170674;01:41
5;8.265072;10.403068;10.403068;01:40
6;7.628707;9.316508;9.316508;01:41
7;6.407458;8.999449;8.999449;01:40
8;6.021825;9.246217;9.246217;01:40
9;5.322365;8.908692;8.908692;01:39
10;5.054859;8.401117;8.401117;01:40
11;4.832172;8.318817;8.318817;01:40
12;4.162552;7.965937;7.965937;01:40
13;3.701845;8.034971;8.034971;01:41
14;3.437624;8.103236;8.103236;01:40
15;3.541757;8.102001;8.102001;01:41
16;3.061367;8.040553;8.040553;01:40
17;3.295056;8.008625;8.008625;01:40
18;2.969903;7.850114;7.850114;01:40
19;3.074800;8.125328;8.125328;01:40
20;3.076609;8.602131;8.602131;01:40
21;3.094076;8.155869;8.155869;01:41
22;3.450754;8.105556;8.105556;01:41
23;3.770058;7.871454;7.871454;01:41
24;3.816806;8.232871;8.232871;01:41
25;3.665181;7.960687;7.960687;01:41
26;3.732857;7.902781;7.902781;01:41
27;3.965835;9.114907;9.114907;01:40
28;3.317933;8.900663;8.900663;01:40
29;3.688879;7.830332;7.830332;01:40
30;4.390547;8.387334;8.387334;01:41
31;4.262914;8.100288;8.100288;01:40
32;3.977190;8.182499;8.182499;01:40
33;3.891223;8.750605;8.750605;01:41
34;3.840145;8.611442;8.611442;01:41
35;4.707504;8.710350;8.710350;01:40
36;4.094018;8.091688;8.091688;01:40
37;4.328610;9.529833;9.529833;01:40
38;4.576855;9.238033;9.238033;01:41
39;4.369953;7.533594;7.533594;01:40
40;4.184763;8.624063;8.624063;01:42
41;3.871805;8.166774;8.166774;01:41
42;4.369279;8.108948;8.108948;01:41
43;4.040378;9.000849;9.000849;01:41
44;4.749239;7.976377;7.976377;01:40
45;4.347321;7.780046;7.780046;01:41
46;4.700349;8.736399;8.736399;01:41
47;4.179768;8.522431;8.522431;01:40
48;4.212246;8.197633;8.197633;01:41
