epoch;train_loss;valid_loss;mae;time
0;18.322073;16.631496;16.631496;01:39
1;16.592052;16.701021;16.701021;01:40
2;15.093497;15.111836;15.111836;01:42
3;14.005088;13.866008;13.866008;01:40
4;11.909065;12.184627;12.184627;01:40
5;9.848463;10.880681;10.880681;01:39
6;8.499255;9.752276;9.752276;01:40
7;7.831988;8.697760;8.697760;01:40
8;6.326151;7.855388;7.855388;01:39
9;5.948677;7.578204;7.578204;01:39
10;5.196844;7.593145;7.593145;01:39
11;5.034274;7.178644;7.178644;01:40
12;4.215020;7.106898;7.106898;01:40
13;3.680749;7.297949;7.297949;01:40
14;3.716302;6.936218;6.936218;01:40
15;4.049996;6.996860;6.996860;01:40
16;3.345450;7.016282;7.016282;01:39
17;3.353299;7.244322;7.244322;01:41
18;3.571741;6.754860;6.754860;01:41
19;3.514207;6.627385;6.627385;01:40
20;3.428089;6.712084;6.712084;01:39
21;3.391958;6.822306;6.822306;01:39
22;3.783123;6.648529;6.648529;01:40
23;3.420415;6.766725;6.766725;01:40
24;3.436114;7.057526;7.057526;01:39
25;3.376788;6.573640;6.573640;01:40
26;3.696109;7.594494;7.594494;01:40
27;3.223979;6.634320;6.634320;01:40
28;3.386712;6.462963;6.462963;01:39
29;3.458066;6.516656;6.516656;01:39
30;3.885531;8.776389;8.776389;01:40
31;3.547720;6.478120;6.478120;01:40
32;3.770839;7.952720;7.952720;01:40
33;3.587592;6.602325;6.602325;01:40
34;4.256711;6.476773;6.476773;01:39
35;3.717905;6.439315;6.439315;01:40
36;3.564535;6.374112;6.374112;01:39
37;4.031472;7.733189;7.733189;01:40
38;3.541121;6.083677;6.083677;01:40
39;3.732085;7.159438;7.159438;01:40
40;3.686555;6.396895;6.396895;01:39
41;3.500945;6.610691;6.610691;01:39
42;3.742843;7.020597;7.020597;01:40
43;3.477633;6.635752;6.635752;01:40
44;3.754612;7.018090;7.018090;01:40
45;3.682130;6.975879;6.975879;01:39
46;3.238233;6.196843;6.196843;01:40
47;3.388746;6.270355;6.270355;01:40
48;3.580886;6.200338;6.200338;01:40
49;3.767488;7.130733;7.130733;01:40
50;3.591120;6.350417;6.350417;01:40
51;3.658197;6.323492;6.323492;01:40
52;3.886643;6.193678;6.193678;01:39
53;4.071409;6.638750;6.638750;01:39
